Reference Number,Watch URL,type,brand,year_introduced,Parent_Model,Specific_Model,nickname,Marketing Names,style,Currency,Price,Image URL,made_in,case_shape,case_material,case_finish,Caseback,diameter,between_lugs,Lug-to-Lug ,Case Thickness,bezel_material,bezel_color,crystal,Water_resistance,weight,dial_color,numerals,bracelet_material,bracelet_color,clasp_type,movement,caliber,power_reserve,frequency,jewels,features,Description,short_description
ST23-OW.FE,https://arminstrom.com/en/collection/system-78/one-week-first-edition,,Armin Strom,,System 78,One Week First Edition,One Week First Edition,"Limited Edition
25 pieces",,CHF,32000,https://arminstrom.com/wp-content/uploads/2023/08/1200px_OneWeek_FirstEd_soldat_v01.jpg,Switzerland,,Stainless steel,,Sapphire crystal and case back with anti-reflective coating,41.00mm,22-20 mm,46.20mm,10.60 mm,,,"Stainless steel, Sapphire crystal and case back with anti-reflective coating",10 ATM / 100 m,,"Black minute ring and small-second dial, numbers and indexes with Super-LumiNova® filling","Black minute ring and small-second dial, numbers and indexes with Super-LumiNova® filling",Stainless steel with a double folding clasp,Stainless steel with a double folding clasp,Pin buckle or folding clasp available in stainless steel,,,,,,,"More than an evolution. The One Week completely reimagines Armin Strom’s very first in-house calibre from 2010. More architectural, more open and housed in a new streamlined steel case with an integrated bracelet, the One Week was conceived with balance and depth in mind. The One Week First Edition of 25 pieces stands out with its light blue PVD coloured mainplate and bridges.
 
Ask for more information",
ST22-OR.90,https://arminstrom.com/en/collection/system-78/orbit-manufacture-edition/,,Armin Strom,,System 78,Orbit Manufacture Edition,Orbit Manufacture Edition,,,CHF,35000,https://arminstrom.com/wp-content/uploads/2022/06/1200px_Orbit_ManufEd_soldat_v01.jpg,Switzerland,,Stainless steel,,Sapphire crystal and case back with anti-reflective coating,43.4 mm,22/20 mm,48.96 mm,"12,6 mm",,,Sapphire crystal and case back with anti-reflective coating,5 ATM / 50 m,,Off-center black dial with subdial,Off-center black dial with subdial,Stainless-steel with a double folding clasp,Stainless-steel with a double folding clasp,Pin buckle or folding clasp available in stainless steel,,,,,,,"Armin Strom has completely reinterpreted the ubiquitous date function in the Orbit, the world’s first watch with an on-demand date indicated on the bezel. Crafted in steel with a ceramic bezel and an integrated steel bracelet, the Orbit adds a sporty touch to the first-of-its-kind column-wheel retrograde date atop the micro-rotor automatic movement with a torque-limiting barrel for optimal chronometric performance throught the watch’s autonomy.
 



Place your reservationAsk for more information


Place your reservationAsk for more informationStrap size guide",
ST22-OR.75,https://arminstrom.com/en/collection/system-78/orbit-first-edition/,,Armin Strom,,System 78,Orbit First Edition,Orbit First Edition,"Limited Edition
25 pieces",,CHF,35000,https://arminstrom.com/wp-content/uploads/2022/03/Orbit_Soldout_Pic_01.jpg,Switzerland,,Stainless steel,,Sapphire crystal and case back with anti-reflective coating,43.4 mm,22/20 mm,48.96 mm,"12,6 mm",,,Sapphire crystal and case back with anti-reflective coating,5 ATM / 50 m,,Off-center dial in black gold with subdial,Off-center dial in black gold with subdial,Stainless-steel with a double folding clasp,Stainless-steel with a double folding clasp,Pin buckle or folding clasp available in 18ct rose gold,,,,,,,"Armin Strom has completely reinterpreted the ubiquitous date function in the Orbit, the world’s first watch with an on-demand date indicated on the bezel. Crafted in steel with a ceramic bezel and an integrated steel bracelet, the Orbit adds a sporty touch to the first-of-its-kind column-wheel retrograde date atop the micro-rotor automatic movement with a torque-limiting barrel for optimal chronometric performance throught the watch’s autonomy.
Ask for more information",
ST19-GEF.90,https://arminstrom.com//en/collection/system-78/gravity-equal-force-manufacture-edition-black/,,Armin Strom,,System 78,Gravity Equal Force Manufacture Edition Black,Gravity Equal Force Manufacture Edition Black,,,CHF,20000,https://arminstrom.com/wp-content/uploads/2021/05/Gravity-Equal-Force-Manufacture-Edition-black.jpg,Switzerland,,Stainless steel,,Sapphire crystal and case back with anti-reflective treatment,41.00 mm,20/18 mm,48.09 mm,12.65 mm,,,Sapphire crystal and case back with anti-reflective treatment,30 m,,Offset with subdial,Offset with subdial,Delivered with a genuine alligator leather strap in black or blue,Delivered with a genuine alligator leather strap in black or blue,Pin buckle or Folding clasp available in stainless steel,,,,,,,"The Gravity Equal Force is the world’s first automatic watch with constant force transmission. The result is consistent power delivery to the balance which ensures that the watch always delivers flawlessly constant precision.
 



Place your reservationAsk for more information


Place your reservationAsk for more informationStrap size guide",
ST19-GEF.05,https://arminstrom.com//en/collection/system-78/gravity-equal-force-manufacture-edition-blue/,,Armin Strom,,System 78,Gravity Equal Force Manufacture Edition Blue,Gravity Equal Force Manufacture Edition Blue,,,CHF,20000,https://arminstrom.com/wp-content/uploads/2021/05/Gravity-Equal-Force-Manufacture-Edition-Blue.jpg,Switzerland,,Stainless steel,,Sapphire crystal and case back with anti-reflective treatment,41.00 mm,20/18 mm,48.09 mm,12.65 mm,,,Sapphire crystal and case back with anti-reflective treatment,30 m,,Offset with subdial,Offset with subdial,Delivered with a genuine alligator leather strap in black or blue,Delivered with a genuine alligator leather strap in black or blue,Pin buckle or Folding clasp available in stainless steel,,,,,,,"The Gravity Equal Force is the world’s first automatic watch with constant force transmission. The result is consistent power delivery to the balance which ensures that the watch always delivers flawlessly constant precision.
 



Place your reservationAsk for more information


Place your reservationAsk for more informationStrap size guide",
RG19-GEF.85,https://arminstrom.com//en/collection/system-78/gravity-equal-force-manufacture-edition-black-gold/,,Armin Strom,,System 78,Gravity Equal Force Manufacture Edition Rose Gold,Gravity Equal Force Manufacture Edition Rose Gold,,,CHF,31900,https://arminstrom.com/wp-content/uploads/2021/05/Gravity-Equal-Force-Manufacture-Edition-black-gold.jpg,Switzerland,,18ct rose gold,,Sapphire crystal and case back with anti-reflective treatment,41.00 mm,20/18 mm,48.09 mm,12.65 mm,,,Sapphire crystal and case back with anti-reflective treatment,30 m,,Offset with subdial,Offset with subdial,Delivered with a genuine alligator leather strap in black,Delivered with a genuine alligator leather strap in black,Folding clasp in stainless steel,,,,,,,"The Gravity Equal Force is the world’s first automatic watch with constant force transmission. The result is consistent power delivery to the balance which ensures that the watch always delivers flawlessly constant precision.



Place your reservationAsk for more information


Place your reservationAsk for more informationStrap size guide",
ST21-GEF.SA,https://arminstrom.com/en/collection/system-78/gravity-equal-force-ultimate-sapphire/,,Armin Strom,,System 78,Gravity Equal Force Ultimate Sapphire,Gravity Equal Force Ultimate Sapphire,,,CHF,27500,https://arminstrom.com/wp-content/uploads/2021/09/Gravity-Equal-Force-sapphire-dial-grey-image-01-1.jpg,Switzerland,,Stainless steel,,Sapphire crystal and case back with anti-reflective treatment,41.00 mm,20/18 mm,48.09 mm,12.65 mm,,,Sapphire crystal and case back with anti-reflective treatment,30 m,,Grey toned off-center sapphire dial with subdial,Grey toned off-center sapphire dial with subdial,Delivered with a black fabric strap with light grey stitching,Delivered with a black fabric strap with light grey stitching,Folding clasp in stainless steel,,,,,,,"The Gravity Equal Force is the world’s first automatic watch with constant force transmission. The result is consistent power delivery to the balance which ensures that the watch always delivers flawlessly constant precision.
With its off-center grey-toned sapphire dial, the strikingly cool monochrome watch offers an extraordinary view of the exquisitely-finished manufacture movement.



Place your reservationAsk for more information


Place your reservationAsk for more informationStrap size guide",
ST22-GEF.JG.CR.M.N1,https://arminstrom.com//en/collection/system-78/gravity-equal-force-jungle-green/,,Armin Strom,,System 78,Gravity Equal Force Jungle Green,Gravity Equal Force Jungle Green,,,CHF,22900,https://arminstrom.com/wp-content/uploads/2022/02/Gravity-Equal-Force-jungle-green-image-01-sold-out.jpg,Switzerland,,Stainless steel,,Sapphire crystal and case back with anti-reflective treatment,41.00 mm,20/18 mm,48.09 mm,"12,65 mm",,,Sapphire crystal and case back with anti-reflective treatment,30 m,,"Jungle green colored hand guilloche by Kari Voutilainen, off-center dial with subdial","Jungle green colored hand guilloche by Kari Voutilainen, off-center dial with subdial",Delivered with a black alligator leather strap with black stitching,Delivered with a black alligator leather strap with black stitching,Folding clasp in stainless steel,,,,,,,"An unprecedented feat of micromechanical ingenuity with a singular design made even more spectacular by an artisanally crafted dial, the Gravity Equal Force Jungle Green features a striking jungle-green guilloché dial by Kari Voutilainen, with a Grain d’orge horizontal pattern that follows the lines of the three bridges, paired with a matte black movement plate.
Entirely visible from the dial side, the Gravity Equal Force has a constant force transmission integrated directly in the mainspring barrel. The result is consistent power transmission to the regulating organ, ensuring unwavering precision throughout the watch’s autonomy.
Ask for more information",
ST20-LAB.90,https://arminstrom.com//en/collection/system-78/lady-beat-manufacture-edition-black/,,Armin Strom,,System 78,Lady Beat Manufacture Edition Black,Lady Beat Manufacture Edition Black,,,CHF,18000,https://arminstrom.com/wp-content/uploads/2021/05/armin-strom-lady-beat-manufacture-edition-black-image-01.jpg,Switzerland,,Stainless steel,,Sapphire crystal and case back with anti-reflective treatment,38.00 mm,19/16 mm,38.85 mm,11.65 mm,,,Sapphire crystal and case back with anti-reflective treatment,30 m,,Offset in black,Offset in black,Delivered with a bi-material rubber and Alcantara in satin black,Delivered with a bi-material rubber and Alcantara in satin black,Folding clasp in stainless steel,,,,,,,"Finally, a no-compromise haute-horology watch designed for a feminine sensibility.
 



Place your reservationAsk for more information


Place your reservationAsk for more informationStrap size guide",
ST20-LAB.60,https://arminstrom.com//en/collection/system-78/lady-beat-manufacture-edition-white/,,Armin Strom,,System 78,Lady Beat Manufacture Edition White,Lady Beat Manufacture Edition White,,,CHF,18000,https://arminstrom.com/wp-content/uploads/2021/05/armin-strom-lady-beat-manufacture-edition-white-image-01.jpg,Switzerland,,Stainless steel,,Sapphire crystal and case back with anti-reflective treatment,38.00 mm,19/16 mm,38.85 mm,11.65 mm,,,"Stainless steel, Sapphire crystal and case back with anti-reflective treatment",30 m,,Offset in white,Offset in white,Delivered with a bi-material rubber and Alcantara in satin white,Delivered with a bi-material rubber and Alcantara in satin white,Folding clasp in stainless steel,,,,,,,"Finally, a no-compromise haute-horology watch designed for a feminine sensibility.
 



Place your reservationAsk for more information


Place your reservationAsk for more informationStrap size guide",
